id,season,city,date,team1,team2,toss_winner,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match
258,2011,Kolkata,22-04-2011,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,normal,0,Royal Challengers Bangalore,0,9,CH Gayle
259,2011,Delhi,23-04-2011,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,normal,0,Delhi Daredevils,29,0,DA Warner
260,2011,Hyderabad,24-04-2011,Mumbai Indians,Deccan Chargers,Deccan Chargers,normal,0,Mumbai Indians,37,0,SL Malinga
261,2011,Jaipur,24-04-2011,Kochi Tuskers Kerala,Rajasthan Royals,Rajasthan Royals,normal,0,Rajasthan Royals,0,8,SK Warne
262,2011,Chennai,25-04-2011,Chennai Super Kings,Pune Warriors,Pune Warriors,normal,0,Chennai Super Kings,25,0,MEK Hussey
263,2011,Delhi,26-04-2011,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,normal,0,Royal Challengers Bangalore,0,3,V Kohli
264,2011,Mumbai,27-04-2011,Pune Warriors,Chennai Super Kings,Pune Warriors,normal,0,Chennai Super Kings,0,8,DE Bollinger
265,2011,Kochi,27-04-2011,Deccan Chargers,Kochi Tuskers Kerala,Kochi Tuskers Kerala,normal,0,Deccan Chargers,55,0,I Sharma
266,2011,Delhi,28-04-2011,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,normal,0,Kolkata Knight Riders,17,0,MK Tiwary
267,2011,Jaipur,29-04-2011,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,normal,0,Rajasthan Royals,0,7,J Botha
268,2011,Bangalore,29-04-2011,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,normal,0,Royal Challengers Bangalore,26,0,V Kohli
269,2011,Kochi,30-04-2011,Delhi Daredevils,Kochi Tuskers Kerala,Delhi Daredevils,normal,0,Delhi Daredevils,38,0,V Sehwag
270,2011,Kolkata,30-04-2011,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,normal,0,Kolkata Knight Riders,0,8,Iqbal Abdulla
271,2011,Jaipur,01-05-2011,Pune Warriors,Rajasthan Royals,Rajasthan Royals,normal,0,Rajasthan Royals,0,6,LRPL Taylor
272,2011,Chennai,01-05-2011,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,normal,0,Chennai Super Kings,19,0,JA Morkel
273,2011,Mumbai,02-05-2011,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,normal,0,Mumbai Indians,23,0,KA Pollard
274,2011,Delhi,02-05-2011,Delhi Daredevils,Kochi Tuskers Kerala,Kochi Tuskers Kerala,normal,0,Kochi Tuskers Kerala,0,7,P Parameswaran
275,2011,Hyderabad,03-05-2011,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,normal,0,Kolkata Knight Riders,20,0,YK Pathan
276,2011,Chennai,04-05-2011,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,normal,0,Chennai Super Kings,0,8,MEK Hussey
277,2011,Mumbai,04-05-2011,Mumbai Indians,Pune Warriors,Pune Warriors,normal,0,Mumbai Indians,21,0,R Sharma
278,2011,Kochi,05-05-2011,Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,normal,0,Kochi Tuskers Kerala,17,0,BJ Hodge
279,2011,Hyderabad,05-05-2011,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,normal,0,Delhi Daredevils,0,4,V Sehwag
